Year,Colony,Unique ID,Clutch No.,No. eggs,No. Chicks,No. Fledglings
2005,Troubridge Island,1490,1,2,0,0
2005,Troubridge Island,1491,1,2,,
2005,Troubridge Island,1492,1,2,2,2
2005,Troubridge Island,1493,1,2,,
2005,Troubridge Island,1494,1,2,2,0
2005,Troubridge Island,1495,1,2,0,0
2005,Troubridge Island,1496,1,2,,
2005,Troubridge Island,1497,1,2,2,1
2005,Troubridge Island,1498,1,2,,
2005,Troubridge Island,1499,1,2,,
2005,Troubridge Island,1500,1,2,2,2
2005,Troubridge Island,1501,1,2,0,0
2005,Troubridge Island,1502,1,2,,
2005,Troubridge Island,1504,1,2,,
2005,Troubridge Island,1505,1,1,1,1
2005,Troubridge Island,1506,1,2,2,1
2005,Troubridge Island,1507,1,2,,
2005,Troubridge Island,1508,1,2,0,0
2005,Troubridge Island,1509,1,2,0,0
2005,Troubridge Island,1510,1,2,2,2
2005,Troubridge Island,1511,1,2,0,0
2005,Troubridge Island,1512,1,2,2,2
2005,Troubridge Island,1513,1,2,,
2005,Troubridge Island,1514,1,2,,
2005,Troubridge Island,1515,1,2,,
2005,Troubridge Island,1516,1,2,,
2005,Troubridge Island,1517,1,2,2,1
2005,Troubridge Island,1518,1,2,2,2
2005,Troubridge Island,1519,1,2,0,0
2005,Troubridge Island,1520,1,2,0,0
2005,Troubridge Island,1521,1,2,2,2
2005,Troubridge Island,1522,1,2,1,0
2005,Troubridge Island,1523,1,2,2,2
2005,Troubridge Island,1524,1,2,0,0
2005,Troubridge Island,1525,1,1,0,0
2005,Troubridge Island,1526,1,2,0,0
2005,Troubridge Island,1527,1,2,0,0
2005,Troubridge Island,1528,1,2,0,0
2005,Troubridge Island,1529,1,2,0,0
2005,Troubridge Island,1530,1,2,2,2
2005,Troubridge Island,1531,1,2,0,0
2005,Troubridge Island,1532,1,1,0,0
2005,Troubridge Island,1533,1,2,1,0
2005,Troubridge Island,1534,1,2,0,0
2005,Troubridge Island,1535,1,2,0,0
2005,Troubridge Island,1536,1,2,0,0
2005,Troubridge Island,1537,1,2,1,1
2005,Troubridge Island,1538,1,1,0,0
2005,Troubridge Island,1539,1,2,0,0
2005,Troubridge Island,1540,1,2,0,0
2005,Troubridge Island,1541,1,2,2,1
2005,Troubridge Island,1542,1,2,,
2005,Troubridge Island,1543,1,2,1,1
2005,Troubridge Island,1544,1,1,0,0
2005,Troubridge Island,1545,1,2,1,1
2005,Troubridge Island,1546,1,1,0,0
2005,Troubridge Island,1547,1,2,2,2
2005,Troubridge Island,1548,1,2,,
2005,Troubridge Island,1549,1,2,2,2
2005,Troubridge Island,1550,1,2,1,1
2005,Troubridge Island,1551,1,2,0,0
2005,Troubridge Island,1552,1,2,1,1
2005,Troubridge Island,1553,1,2,2,2
2005,Troubridge Island,1554,1,2,2,1
2005,Troubridge Island,1555,1,2,2,2
2005,Troubridge Island,1556,1,2,1,1
2005,Troubridge Island,1557,1,1,0,0
2005,Troubridge Island,1558,1,2,,
2005,Troubridge Island,1559,1,2,2,2
2005,Troubridge Island,1560,1,2,1,1
2005,Troubridge Island,1561,1,2,0,0
2005,Troubridge Island,1562,1,2,,
2005,Troubridge Island,1563,1,2,2,2
2005,Troubridge Island,1564,1,2,,
2005,Troubridge Island,1565,1,2,2,2
2005,Troubridge Island,1566,1,2,,
2005,Troubridge Island,1567,1,,1,0
2005,Troubridge Island,1568,1,2,2,2
2005,Troubridge Island,1569,1,2,1,1
2005,Troubridge Island,1570,1,2,1,1
2005,Troubridge Island,1571,1,2,2,0
2005,Troubridge Island,1572,1,2,,
2005,Troubridge Island,1573,1,2,2,0
2005,Troubridge Island,1574,1,2,1,1
2005,Troubridge Island,1575,1,2,,
2005,Troubridge Island,1576,1,2,2,2
2005,Troubridge Island,1577,1,2,2,2
2005,Troubridge Island,1578,1,2,1,1
2005,Troubridge Island,1579,1,2,1,1
2005,Troubridge Island,1580,1,2,1,1
2005,Troubridge Island,1581,1,2,2,2
2005,Troubridge Island,1582,1,2,2,2
2005,Troubridge Island,1583,1,2,,
2005,Troubridge Island,1584,1,2,0,0
2005,Troubridge Island,1585,1,2,0,0
2005,Troubridge Island,1586,1,2,2,2
2005,Troubridge Island,1587,1,2,1,1
2005,Troubridge Island,1588,1,2,1,1
2005,Troubridge Island,1589,1,2,1,1
2005,Troubridge Island,1590,1,2,2,2
2005,Troubridge Island,1591,1,2,,
2006,Troubridge Island,1592,1,1,1,1
2006,Troubridge Island,1593,1,1,0,0
2006,Troubridge Island,1594,1,1,1,0
2006,Troubridge Island,1595,1,1,,
2006,Troubridge Island,1596,1,1,1,1
2006,Troubridge Island,1597,1,1,1,1
2006,Troubridge Island,1598,1,1,0,0
2006,Troubridge Island,1599,1,1,0,0
2006,Troubridge Island,1600,1,2,1,0
2006,Troubridge Island,1601,1,2,0,0
2006,Troubridge Island,1602,1,2,2,1
2006,Troubridge Island,1603,1,2,2,2
2006,Troubridge Island,1604,1,2,2,2
2006,Troubridge Island,1605,1,2,0,0
2006,Troubridge Island,1606,1,2,0,0
2006,Troubridge Island,1607,1,2,0,0
2006,Troubridge Island,1608,1,2,2,0
2006,Troubridge Island,1609,1,2,1,1
2006,Troubridge Island,1610,1,2,0,0
2006,Troubridge Island,1611,1,2,1,0
2006,Troubridge Island,1612,1,2,0,0
2006,Troubridge Island,1613,1,2,,
2006,Troubridge Island,1614,1,2,2,0
2006,Troubridge Island,1615,1,2,0,0
2006,Troubridge Island,1616,1,2,2,2
2006,Troubridge Island,1617,1,2,0,0
2006,Troubridge Island,1618,1,2,2,2
2006,Troubridge Island,1619,1,2,0,0
2006,Troubridge Island,1620,1,2,0,0
2006,Troubridge Island,1621,1,2,0,0
2006,Troubridge Island,1622,1,2,0,0
2006,Troubridge Island,1623,1,2,0,0
2006,Troubridge Island,1624,1,2,0,0
2006,Troubridge Island,1625,1,2,0,0
2006,Troubridge Island,1626,1,2,0,0
2006,Troubridge Island,1627,1,2,1,1
2006,Troubridge Island,1628,1,2,0,0
2006,Troubridge Island,1629,1,2,0,0
2006,Troubridge Island,1630,1,2,0,0
2006,Troubridge Island,1631,1,2,0,0
2006,Troubridge Island,1632,1,2,0,0
2006,Troubridge Island,1633,1,2,0,0
2006,Troubridge Island,1634,1,2,0,0
2006,Troubridge Island,1635,1,2,2,2
2006,Troubridge Island,1636,1,2,0,0
2006,Troubridge Island,1637,1,2,0,0
2006,Troubridge Island,1638,1,2,0,0
2006,Troubridge Island,1639,1,2,0,0
2006,Troubridge Island,1640,1,2,0,0
2006,Troubridge Island,1641,1,2,0,0
2006,Troubridge Island,1642,1,2,,
2006,Troubridge Island,1643,1,2,,
2006,Troubridge Island,1644,1,2,,
2006,Troubridge Island,1645,1,2,0,0
2006,Troubridge Island,1646,1,2,,
2006,Troubridge Island,1647,1,2,0,0
2006,Troubridge Island,1648,1,2,0,0
2006,Troubridge Island,1649,1,2,,
2006,Troubridge Island,1650,1,2,0,0
2006,Troubridge Island,1651,1,2,0,0
2006,Troubridge Island,1652,1,2,2,2
2006,Troubridge Island,1653,1,2,2,2
2006,Troubridge Island,1654,1,2,0,0
2006,Troubridge Island,1655,1,2,1,1
2006,Troubridge Island,1656,1,2,1,1
2006,Troubridge Island,1657,1,2,0,0
2013,Troubridge Island,1021,1,2,1,0
2013,Troubridge Island,1021,2,2,2,1
2013,Troubridge Island,1022,1,2,2,2
2013,Troubridge Island,1023,1,2,2,2
2013,Troubridge Island,1024,1,2,0,0
2013,Troubridge Island,1025,1,2,0,0
2013,Troubridge Island,1026,1,1,1,1
2013,Troubridge Island,1027,1,2,2,
2013,Troubridge Island,1028,1,2,2,
2013,Troubridge Island,1029,1,2,2,2
2013,Troubridge Island,1030,1,2,2,
2013,Troubridge Island,1031,1,2,2,2
2013,Troubridge Island,1032,1,2,0,0
2013,Troubridge Island,1033,1,2,2,0
2013,Troubridge Island,1034,1,2,2,2
2013,Troubridge Island,1035,1,1,0,0
2013,Troubridge Island,1036,1,2,0,0
2013,Troubridge Island,1037,1,2,0,0
2013,Troubridge Island,1038,1,2,0,0
2013,Troubridge Island,1039,1,1,1,
2013,Troubridge Island,1040,1,2,0,0
2013,Troubridge Island,1041,1,2,0,0
2013,Troubridge Island,1042,1,1,1,
2013,Troubridge Island,1043,1,2,1,1
2013,Troubridge Island,1044,1,2,0,0
2013,Troubridge Island,1044,2,2,0,0
2013,Troubridge Island,1045,1,2,0,0
2013,Troubridge Island,1045,2,2,2,2
2013,Troubridge Island,1046,1,2,0,0
2013,Troubridge Island,1046,2,2,0,0
2013,Troubridge Island,1047,1,2,1,0
2013,Troubridge Island,1047,2,2,1,
2013,Troubridge Island,1048,1,2,2,2
2013,Troubridge Island,1049,1,2,0,0
2013,Troubridge Island,1050,1,2,2,
2013,Troubridge Island,1051,1,2,1,
2013,Troubridge Island,1052,1,2,0,0
2013,Troubridge Island,1053,1,2,2,2
2013,Troubridge Island,1054,1,2,0,0
2014,Troubridge Island,1021,1,2,2,2
2014,Troubridge Island,1024,1,2,2,1
2014,Troubridge Island,1025,1,2,2,2
2014,Troubridge Island,1025,2,2,2,
2014,Troubridge Island,1028,1,2,2,
2014,Troubridge Island,1054,2,2,0,0
2014,Troubridge Island,1054,1,2,2,1
2014,Troubridge Island,1055,1,2,0,0
2014,Troubridge Island,1056,1,2,2,2
2014,Troubridge Island,1057,1,2,1,
2014,Troubridge Island,1058,1,2,1,0
2014,Troubridge Island,1058,2,2,2,
2014,Troubridge Island,1059,1,2,1,1
2014,Troubridge Island,1060,1,2,0,0
2014,Troubridge Island,1061,1,2,2,1
2014,Troubridge Island,1062,1,2,0,0
2014,Troubridge Island,1063,1,2,1,0
2014,Troubridge Island,1064,1,2,0,0
2014,Troubridge Island,1065,1,2,1,1
2014,Troubridge Island,1066,1,2,1,0
2014,Troubridge Island,1067,1,2,2,
2014,Troubridge Island,1068,1,2,0,0
2014,Troubridge Island,1069,1,2,2,0
2014,Troubridge Island,1070,1,2,0,0
2014,Troubridge Island,1071,1,2,2,2
2014,Troubridge Island,1071,2,2,2,
2014,Troubridge Island,1072,1,2,0,0
2014,Troubridge Island,1073,1,2,1,1
2014,Troubridge Island,1074,1,2,0,0
2014,Troubridge Island,1075,1,2,1,1
2014,Troubridge Island,1076,1,2,1,1
2014,Troubridge Island,1077,1,2,1,0
2014,Troubridge Island,1078,1,2,0,0
2015,Troubridge Island,1028,1,2,0,0
2015,Troubridge Island,1028,2,2,0,0
2015,Troubridge Island,1054,1,2,0,0
2015,Troubridge Island,1060,1,2,0,0
2015,Troubridge Island,1061,1,2,0,0
2015,Troubridge Island,1063,1,2,2,0
2015,Troubridge Island,1070,1,2,2,
2015,Troubridge Island,1079,1,2,2,1
2015,Troubridge Island,1080,1,2,2,2
2015,Troubridge Island,1081,1,2,2,0
2015,Troubridge Island,1082,1,2,1,1
2015,Troubridge Island,1082,2,2,,
2015,Troubridge Island,1084,1,2,0,0
2015,Troubridge Island,1085,1,2,0,0
2015,Troubridge Island,1086,1,2,0,0
2015,Troubridge Island,1087,1,2,2,
2015,Troubridge Island,1088,2,2,0,0
2015,Troubridge Island,1088,1,2,2,2
2015,Troubridge Island,1089,1,2,2,
2015,Troubridge Island,1090,1,2,0,0
2015,Troubridge Island,1091,1,2,0,0
2015,Troubridge Island,1092,1,2,0,0
2015,Troubridge Island,1093,1,2,2,2
2015,Troubridge Island,1094,1,2,2,
2015,Troubridge Island,1095,1,2,0,0
2015,Troubridge Island,1096,1,2,1,1
2015,Troubridge Island,1097,1,2,0,0
2015,Troubridge Island,1098,1,2,,
2015,Troubridge Island,1099,1,2,2,
2015,Troubridge Island,1100,1,2,2,0
2016,Troubridge Island,1028,1,1,1,1
2016,Troubridge Island,1060,1,2,2,2
2016,Troubridge Island,1063,1,2,2,2
2016,Troubridge Island,1779,1,2,2,1
2016,Troubridge Island,1070,1,2,2,0
2016,Troubridge Island,1079,1,2,2,2
2016,Troubridge Island,1082,1,2,2,2
2016,Troubridge Island,1083,1,2,1,
2016,Troubridge Island,1084,1,2,2,
2016,Troubridge Island,1085,1,1,1,0
2016,Troubridge Island,1086,1,2,0,0
2016,Troubridge Island,1100,1,1,0,0
2016,Troubridge Island,1101,1,2,2,2
2016,Troubridge Island,1102,1,2,2,2
2016,Troubridge Island,1103,1,2,2,
2016,Troubridge Island,1104,1,2,2,2
2016,Troubridge Island,1105,1,2,0,0
2016,Troubridge Island,1106,1,2,2,2
2016,Troubridge Island,1107,1,2,2,2
2016,Troubridge Island,1108,1,2,2,2
2016,Troubridge Island,1109,1,2,2,0
2016,Troubridge Island,1110,1,2,2,
2016,Troubridge Island,1111,1,2,0,0
2016,Troubridge Island,1112,1,2,2,1
2016,Troubridge Island,1114,1,2,2,2
2016,Troubridge Island,1115,1,2,2,2
2016,Troubridge Island,1116,1,2,2,0
2016,Troubridge Island,1117,1,2,2,1
2016,Troubridge Island,1118,1,2,2,2
2016,Troubridge Island,1119,1,2,2,
2016,Troubridge Island,1120,1,2,2,2
2016,Troubridge Island,1121,1,2,2,1
2017,Troubridge Island,1763,1,2,0,0
2017,Troubridge Island,1764,1,2,2,0
2017,Troubridge Island,1765,1,1,1,1
2017,Troubridge Island,1766,1,2,2,0
2017,Troubridge Island,1767,2,1,0,0
2017,Troubridge Island,1768,1,2,2,
2017,Troubridge Island,1769,1,2,2,2
2017,Troubridge Island,1770,1,2,2,
2017,Troubridge Island,1771,1,2,2,
2017,Troubridge Island,1772,1,2,2,2
2017,Troubridge Island,1773,1,2,,
2017,Troubridge Island,1774,1,1,1,1
2017,Troubridge Island,1775,1,1,1,1
2017,Troubridge Island,1776,1,1,1,
2017,Troubridge Island,1777,1,2,2,0
2017,Troubridge Island,1778,1,1,0,0
2017,Troubridge Island,1094,1,2,2,2
2017,Troubridge Island,1102,1,2,2,
2017,Troubridge Island,1085,1,2,0,0
2017,Troubridge Island,1070,1,2,2,
2017,Troubridge Island,1060,1,2,,
2017,Troubridge Island,1779,1,2,2,
2017,Troubridge Island,1110,1,2,2,
2017,Troubridge Island,1111,1,2,0,0
2017,Troubridge Island,1028,1,2,2,2
2017,Troubridge Island,1119,1,1,0,0
2012,Vivonne Bay,1692,1,2,2,0
2012,Vivonne Bay,1693,1,2,2,2
2012,Vivonne Bay,1694,1,2,2,0
2012,Vivonne Bay,1695,1,2,2,0
2012,Vivonne Bay,1696,1,2,2,
2012,Vivonne Bay,1697,1,2,2,2
2012,Vivonne Bay,1698,1,2,2,2
2012,Vivonne Bay,1699,1,2,1,0
2012,Vivonne Bay,1700,1,2,0,0
2012,Vivonne Bay,1701,1,2,2,2
2012,Vivonne Bay,1702,1,2,1,0
2012,Vivonne Bay,1703,1,2,2,1
2012,Vivonne Bay,1704,1,2,2,2
2012,Vivonne Bay,1705,1,2,1,0
2012,Vivonne Bay,1705,2,2,,
2012,Vivonne Bay,1706,1,2,2,2
2012,Vivonne Bay,1707,1,2,2,2
2012,Vivonne Bay,1708,1,2,1,1
2012,Vivonne Bay,1709,1,2,2,2
2012,Vivonne Bay,1710,1,2,2,2
2013,Vivonne Bay,1219,1,1,1,1
2013,Vivonne Bay,1220,1,2,2,2
2013,Vivonne Bay,1221,1,1,1,0
2013,Vivonne Bay,1222,1,2,2,2
2013,Vivonne Bay,1223,1,2,2,2
2013,Vivonne Bay,1224,1,2,2,0
2013,Vivonne Bay,1225,1,2,2,2
2013,Vivonne Bay,1226,1,1,1,1
2013,Vivonne Bay,1227,1,1,1,1
2013,Vivonne Bay,1228,1,2,1,2
2013,Vivonne Bay,1228,1,2,1,2
1998,West Island,902,1,2,1,0
1998,West Island,903,1,2,2,2
1998,West Island,904,1,1,0,0
1998,West Island,905,1,2,2,2
1998,West Island,906,1,2,2,2
1998,West Island,907,1,1,1,0
1998,West Island,908,1,2,2,2
1998,West Island,909,1,1,0,0
1998,West Island,910,1,2,0,0
1998,West Island,911,1,1,1,0
1998,West Island,912,1,2,2,0
1998,West Island,913,1,2,0,0
1998,West Island,914,1,2,1,0
1998,West Island,915,1,2,2,2
1998,West Island,916,1,2,2,1
1998,West Island,917,1,2,2,1
1998,West Island,918,1,2,2,2
1998,West Island,919,1,2,2,2
1998,West Island,920,1,2,2,2
1998,West Island,921,1,2,2,2
1998,West Island,922,1,2,1,1
1998,West Island,923,1,2,2,2
1998,West Island,924,1,2,2,1
1998,West Island,925,1,2,2,2
1998,West Island,926,1,2,0,0
1998,West Island,927,1,2,2,2
1998,West Island,928,1,1,1,1
1998,West Island,929,1,2,1,0
1998,West Island,930,1,2,2,2
1998,West Island,931,1,1,1,1
1998,West Island,932,1,2,2,2
1998,West Island,933,1,1,1,1
1998,West Island,934,1,2,0,0
1999,West Island,935,1,2,2,2
1999,West Island,936,1,1,1,1
1999,West Island,937,1,2,2,0
1999,West Island,938,1,1,1,0
1999,West Island,939,1,2,2,0
1999,West Island,940,1,2,0,0
1999,West Island,940,1,1,1,1
1999,West Island,941,1,2,2,2
1999,West Island,942,1,2,0,0
1999,West Island,943,1,2,0,0
1999,West Island,944,1,2,0,0
1999,West Island,945,1,1,1,0
1999,West Island,945,1,2,2,1
1999,West Island,946,1,2,1,0
1999,West Island,947,1,1,1,0
1999,West Island,948,1,2,2,0
1999,West Island,949,1,2,0,0
1999,West Island,950,1,1,0,0
1999,West Island,951,1,2,0,0
1999,West Island,952,1,2,0,0
1999,West Island,952,1,2,2,1
1999,West Island,953,1,2,2,0
1999,West Island,954,1,2,0,0
1999,West Island,955,1,2,2,0
1999,West Island,956,1,2,2,2
1999,West Island,957,1,2,2,0
1999,West Island,957,1,2,2,0
1999,West Island,958,1,2,1,1
1999,West Island,959,1,2,2,2
1999,West Island,960,1,2,2,1
1999,West Island,961,1,2,2,0
1999,West Island,962,1,1,0,0
1999,West Island,963,1,2,2,0
1999,West Island,964,1,2,0,0
1999,West Island,965,1,2,2,0
1999,West Island,966,1,2,0,0
1999,West Island,967,1,2,0,0
2001,West Island,968,1,1,0,0
2001,West Island,969,1,2,0,0
2001,West Island,970,1,2,0,0
2001,West Island,971,1,2,2,2
2001,West Island,972,1,2,2,0
2001,West Island,973,1,2,0,0
2001,West Island,974,1,2,2,1
2001,West Island,975,1,2,2,0
2001,West Island,976,1,2,2,0
2001,West Island,977,1,2,2,0
2001,West Island,978,1,2,2,0
2001,West Island,979,1,2,2,0
2001,West Island,980,1,2,2,0
2001,West Island,981,1,2,2,1
2001,West Island,982,1,2,2,0
2001,West Island,983,1,2,2,0
2001,West Island,984,1,2,2,1
2001,West Island,985,1,2,2,0
2001,West Island,986,1,1,1,1
2001,West Island,987,1,2,0,0
2001,West Island,988,1,2,2,0
2001,West Island,989,1,2,1,0
2001,West Island,990,1,2,1,0
2001,West Island,991,1,1,0,0
2001,West Island,991,1,2,2,2
2001,West Island,992,1,2,2,0
2001,West Island,992,1,2,0,0
2001,West Island,993,1,1,1,0
2001,West Island,994,1,2,0,0
2001,West Island,995,1,2,2,2
2003,West Island,996,1,2,0,0
2003,West Island,997,1,2,2,1
2003,West Island,998,1,2,2,2
2003,West Island,999,1,2,2,0
2003,West Island,1000,1,2,2,0
2003,West Island,1001,1,2,1,0
2003,West Island,1002,1,2,0,0
2003,West Island,1003,1,2,2,0
2003,West Island,1004,1,2,2,2
2003,West Island,1005,1,2,2,0
2003,West Island,1006,1,2,2,0
2003,West Island,1007,1,2,2,0
2003,West Island,1008,1,2,2,1
2003,West Island,1009,1,2,2,1
2003,West Island,1010,1,2,0,0
2003,West Island,1011,1,2,2,2
2003,West Island,1012,1,2,2,0
2003,West Island,1013,1,2,2,2
2003,West Island,1014,1,2,2,1
2003,West Island,1014,1,2,2,2
2003,West Island,1015,1,2,0,0
2003,West Island,1016,1,1,1,0
2003,West Island,1017,1,2,2,0
2003,West Island,1018,1,2,2,2
2003,West Island,1019,1,2,0,0
2003,West Island,1020,1,2,2,0
